Validating models...

0 errors found
April 03, 2014 - 23:08:03
Django version 1.6.2, using settings 'iD_django.settings'
Starting development server at http://0.0.0.0:8081/
Quit the server with CONTROL-C.
[03/Apr/2014 23:08:23] "GET /static/index.html HTTP/1.1" 304 0
[03/Apr/2014 23:08:23] "GET /static/css/reset.css HTTP/1.1" 304 0
[03/Apr/2014 23:08:23] "GET /static/css/map.css HTTP/1.1" 304 0
[03/Apr/2014 23:08:23] "GET /static/css/app.css HTTP/1.1" 304 0
[03/Apr/2014 23:08:23] "GET /static/css/feature-icons.css HTTP/1.1" 304 0
[03/Apr/2014 23:08:23] "GET /static/js/lib/d3.v3.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:23] "GET /static/js/lib/lodash.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:23] "GET /static/js/lib/osmauth.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:23] "GET /static/js/lib/jxon.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:23] "GET /static/js/lib/d3.typeahead.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:23] "GET /static/js/lib/d3.geo.tile.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:23] "GET /static/js/lib/d3.combobox.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:23] "GET /static/js/lib/d3.size.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:23] "GET /static/js/lib/d3.trigger.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:23] "GET /static/js/lib/d3.jsonp.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:23] "GET /static/js/lib/d3.keybinding.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:23] "GET /static/js/lib/d3.curtain.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:23] "GET /static/js/lib/d3.one.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:23] "GET /static/js/lib/d3-compat.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:23] "GET /static/js/lib/bootstrap-tooltip.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:23] "GET /static/js/lib/rtree.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:23] "GET /static/js/lib/togeojson.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:23] "GET /static/js/lib/marked.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:23] "GET /static/js/id/id.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:23] "GET /static/js/id/util.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:23] "GET /static/js/id/services/taginfo.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:23] "GET /static/js/id/services/wikipedia.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:23] "GET /static/data/data_dev.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:23] "GET /static/js/id/geo.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:24] "GET /static/js/id/geo/extent.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:24] "GET /static/js/id/geo/multipolygon.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:24] "GET /static/js/id/renderer/background.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:24] "GET /static/js/id/renderer/background_source.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:24] "GET /static/js/id/renderer/localgpx.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:24] "GET /static/js/id/renderer/map.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:24] "GET /static/js/id/svg.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:24] "GET /static/js/id/svg/areas.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:24] "GET /static/js/id/svg/lines.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:24] "GET /static/js/id/svg/member_classes.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:24] "GET /static/js/id/svg/midpoints.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:24] "GET /static/js/id/svg/points.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:24] "GET /static/js/id/svg/surface.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:24] "GET /static/js/id/svg/tag_classes.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:24] "GET /static/js/id/svg/vertices.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:24] "GET /static/js/id/svg/labels.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:24] "GET /static/js/id/ui.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:24] "GET /static/js/id/ui/intro.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:24] "GET /static/js/id/ui/attribution.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:24] "GET /static/js/id/ui/radial_menu.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:24] "GET /static/js/id/ui/inspector.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:24] "GET /static/js/id/ui/modal.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:24] "GET /static/js/id/ui/cmd.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:24] "GET /static/js/id/ui/confirm.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:24] "GET /static/js/id/ui/commit.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:24] "GET /static/js/id/ui/success.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:24] "GET /static/js/id/ui/loading.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:24] "GET /static/js/id/ui/account.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:24] "GET /static/js/id/ui/background.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:24] "GET /static/js/id/ui/modes.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:24] "GET /static/js/id/ui/contributors.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:24] "GET /static/js/id/ui/geocoder.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/geolocate.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/help.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/notice.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/flash.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/save.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/splash.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/spinner.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/restore.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/tag_reference.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/preset.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/preset_icon.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/lasso.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/source_switch.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/status.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/toggle.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/undo_redo.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/zoom.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/taglist.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/preset_grid.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:25] "GET /static/js/id/ui/tag_editor.js HTTP/1.1" 304 0
